"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|ES","Without Sequence","101.00","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|ES","Without Sequence","97.60","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|ES","Without Sequence","95.50","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|ES","Without Sequence","92.60","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|ES","Without Sequence","92.00","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|ES","Without Sequence","98.00","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|ES","Without Sequence","133.28","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|ES","Without Sequence","144.74","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|ES","Without Sequence","141.07","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|ES","Without Sequence","124.84","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|ES","Without Sequence","109.65","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|ES","Without Sequence","92.80","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|ES","Without Sequence","64.30","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|ES","Without Sequence","35.00","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|ES","Without Sequence","8.00","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|ES","Without Sequence","4.16","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|ES","Without Sequence","4.16","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|ES","Without Sequence","4.16","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|ES","Without Sequence","5.53","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|ES","Without Sequence","64.37","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|ES","Without Sequence","99.99","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|ES","Without Sequence","139.02","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|ES","Without Sequence","138.67","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|ES","Without Sequence","130.00","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|ES","Without Sequence","107.35","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|ES","Without Sequence","95.96","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|ES","Without Sequence","84.77","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|ES","Without Sequence","66.02","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|ES","Without Sequence","62.87","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|ES","Without Sequence","85.15","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|ES","Without Sequence","130.00","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|ES","Without Sequence","134.95","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|ES","Without Sequence","131.96","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|ES","Without Sequence","136.65","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|ES","Without Sequence","135.07","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|ES","Without Sequence","115.16","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|ES","Without Sequence","93.08","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|ES","Without Sequence","69.50","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|ES","Without Sequence","56.60","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|ES","Without Sequence","56.00","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|ES","Without Sequence","56.00","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|ES","Without Sequence","55.70","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|ES","Without Sequence","56.60","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|ES","Without Sequence","91.12","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|ES","Without Sequence","118.91","",""
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","BZN|ES","Without Sequence","122.10","",""
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","BZN|ES","Without Sequence","120.00","",""
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","BZN|ES","Without Sequence","102.84","",""
